Longitude;Latitude;Street;CityID;StateID;CountryID;ContinentID
48.22190583895002;16.399699098360156;Ybbsstrasse 25;2823;1351;13;5
48.217553175320774;16.383564577763835;Rotensterngasse 19;2823;1351;13;5
40.64631339441244;-73.95102420106161;118 E 28th St;1831;881;225;2
40.62574392230435;-73.94560615644012;1047 E 31st St;1831;881;225;2
51.52190627572071;-0.1073268153107308;12 Onslow St;1494;468;224;5
51.526236458298825;-0.1238909705100173;15 Judd St;1494;468;224;5
19.370006874069976;-99.16670241933878;Nicolas San Juan 1628;1666;1431;136;2
19.420978972102457;-99.16848437625336;Valladolid 34;1666;1431;136;2
35.68607912619572;139.80630699875317;4-chome-9 Morishita;2695;1432;104;3
35.73282342536184;139.79836521624813;7-chome-1 Minamisenju;2695;1432;104;3
41.900138481064495;12.472376499241355;Via di Tor Sanguigna, 13;2234;698;102;5
41.895485929116965;12.465705681071096;Lungotevere Farnesina, 34;2234;698;102;5
-22.945363285983806;-43.18237204651486;Praia de Botafogo, 324;2218;1068;28;2
-22.973144406287524;-43.41414073541491;Av. Canal do Rio Cacambe, 13;2218;1068;28;2
50.088309097382144;14.427137080734816;Kralodvorska 13;2108;1433;54;5
50.07949044665512;14.429965338906442;Vaclavske nam. 67;2108;1433;54;5
55.64936172653379;37.514889917254656;ul. Miklukho-Maklaya, 23;1729;1434;176;3
55.77132584460873;37.58999230921754;2-Ya Brestskaya Ulitsa, 23;1729;1434;176;3
43.64602744035566;-79.38306879535791;56 York St;2710;952;36;2
43.680989011168194;-79.42959478114817;788 St Clair Ave W;2710;952;36;2
48.22221859746513;16.399094137753792;Harkortstrasse;2823;1351;13;5
48.223687493546315;16.401180896288306;Vorgartenstrasse;2823;1351;13;5
48.21901970980362;16.38061799543274;Taborstrasse;2823;1351;13;5
48.21618671266512;16.386573734800884;Nestroyplatz;2823;1351;13;5
40.647088049313105;-73.95202774171081;Rogers Ave/Tilden Av;1831;881;225;2
40.645088051625955;-73.94899102237397;Beverly Road Station;1831;881;225;2
40.624670363946585;-73.94327527278055;Ave K /New York Av;1831;881;225;2
40.62947131381076;-73.94398637124125;Flatbush Av/Av I;1831;881;225;2
51.520568512058446;-0.10603992679563876;Farringdon Station (Stop A);1494;468;224;5
51.522258431743914;-0.10556956798408049;Clerkenwell Green (Stop K);1494;468;224;5
51.52503002119396;-0.12808269178100606;Tavistock Square (Stop N);1494;468;224;5
51.52900248225155;-0.12688157894150823;British Library (Stop C);1494;468;224;5
19.371136559123798;-99.1643707346881;Terminal Metro Zapata;1666;1431;136;2
19.37127254137619;-99.1681563644779;Eje 7 Sur Felix Cuevas - Gabriel Mancera;1666;1431;136;2
